scenario,method,runs,CollRate,2ndC,Sev,Det(s),Det(f),Early,FA(s),FA(f),WPC%,Mod%,OverlapRate,OverlapN
BS3_nonblind_stress,Innov-D+M,1,0.0,0,0.0,1.0,0.8928571428571429,27.0,0.0,0.0,0.0,0.11363636363636363,0.0,0
BS3_nonblind_stress,Innov-D+H,1,1.0,0,13.499999595,1.0,1.0,27.0,0.0,0.0,0.0,0.05454545454545454,1.0,1
BS3_nonblind_stress,Innov-M+H,1,0.0,0,0.0,1.0,1.0,38.0,0.0,0.052884615384615384,0.0,0.10454545454545454,0.0,0
BS3_nonblind_stress,Innov-V+D+M+H,1,0.0,0,0.0,1.0,0.8666666666666667,27.0,0.0,0.0,0.0,0.05909090909090909,0.0,0
BS4_blind_stress,Innov-NONE,1,1.0,0,13.499997408,1.0,1.0,39.0,0.0,0.20441988950276244,0.0,0.34545454545454546,1.0,1
BS4_blind_stress,Innov-V,1,1.0,0,13.499997408,1.0,1.0,39.0,0.0,0.20441988950276244,0.00045454545454545455,0.34545454545454546,1.0,1
BS4_blind_stress,Innov-D,1,1.0,0,13.49999595,1.0,1.0,24.0,0.0,0.0,0.0009090909090909091,0.17727272727272728,1.0,1
BS4_blind_stress,Innov-M,1,1.0,0,2.0,1.0,1.0,39.0,0.0,0.29797979797979796,0.0,0.36818181818181817,1.0,1
BS4_blind_stress,Innov-H,1,1.0,0,13.499997408,1.0,1.0,39.0,0.0,0.20441988950276244,0.0,0.34545454545454546,1.0,1
BS4_blind_stress,Innov-V+D,1,1.0,0,13.49999595,1.0,1.0,24.0,0.0,0.0,0.0009090909090909091,0.17727272727272728,1.0,1
BS4_blind_stress,Innov-V+M,1,1.0,0,2.0,1.0,1.0,39.0,0.0,0.29797979797979796,0.0,0.36818181818181817,1.0,1
BS4_blind_stress,Innov-V+H,1,1.0,0,13.499997408,1.0,1.0,39.0,0.0,0.20441988950276244,0.00045454545454545455,0.34545454545454546,1.0,1
BS4_blind_stress,Innov-D+M,1,1.0,1,4.475000000000004,1.0,0.6857142857142857,15.0,0.0,0.0,0.008181818181818182,0.10909090909090909,1.0,2
BS4_blind_stress,Innov-D+H,1,1.0,0,13.49999595,1.0,1.0,24.0,0.0,0.0,0.0,0.17727272727272728,1.0,1
BS4_blind_stress,Innov-M+H,1,1.0,0,12.34035883008,1.0,1.0,39.0,0.0,0.2569832402234637,0.0,0.39545454545454545,1.0,1
BS4_blind_stress,Innov-V+D+M+H,1,1.0,0,12.5289137664,1.0,0.9714285714285714,24.0,0.0,0.0,0.0,0.15454545454545454,1.0,1
BS4_nonblind_stress,Innov-NONE,1,1.0,0,13.499997408,1.0,1.0,39.0,0.0,0.05741626794258373,0.0,0.10454545454545454,1.0,1
BS4_nonblind_stress,Innov-V,1,1.0,0,13.499997408,1.0,1.0,39.0,0.0,0.05741626794258373,0.00045454545454545455,0.10454545454545454,1.0,1
BS4_nonblind_stress,Innov-D,1,1.0,0,13.499999595,1.0,1.0,28.0,0.0,0.0,0.0009090909090909091,0.05454545454545454,1.0,1
BS4_nonblind_stress,Innov-M,1,1.0,0,2.0,1.0,1.0,39.0,0.0,0.05181347150259067,0.0,0.16818181818181818,1.0,1
BS4_nonblind_stress,Innov-H,1,1.0,0,13.499997408,1.0,1.0,39.0,0.0,0.05741626794258373,0.0,0.10454545454545454,1.0,1
