scenario_index,frame_index,source_available,primary_action,guarded_action,obj_removed,missing_recovered,missing_candidates,missing_gt,missing_tp,missing_fp,EgoOnly_wp_coll,EgoOnly_warned,EgoOnly_geom,EgoOnly_mod,EgoOnly_agents,CleanCoop_wp_coll,CleanCoop_warned,CleanCoop_geom,CleanCoop_mod,CleanCoop_agents,RealPrimaryRaw_wp_coll,RealPrimaryRaw_warned,RealPrimaryRaw_geom,RealPrimaryRaw_mod,RealPrimaryRaw_agents,RealPrimaryTrustCalib_wp_coll,RealPrimaryTrustCalib_warned,RealPrimaryTrustCalib_geom,RealPrimaryTrustCalib_mod,RealPrimaryTrustCalib_agents,RealMultiEvidenceGuard_wp_coll,RealMultiEvidenceGuard_warned,RealMultiEvidenceGuard_geom,RealMultiEvidenceGuard_mod,RealMultiEvidenceGuard_agents,guard_minus_ego_wp_coll,guard_minus_clean_wp_coll
14,5,4,accept,accept,0,0,0,9,0,0,0,1,1,0.1,27,0,1,1,0.1,39,0,1,1,0.1,30,0,1,1,0.1,30,0,1,1,0.1,30,0,0
14,6,4,accept,accept,0,0,0,9,0,0,0,1,1,0.1,26,0,1,1,0.1,40,0,1,1,0.1,32,0,1,1,0.1,32,0,1,1,0.1,32,0,0
14,7,4,accept,accept,0,0,0,8,0,0,0,1,2,0.2,26,0,1,2,0.2,40,0,1,2,0.2,32,0,1,2,0.2,32,0,1,2,0.2,32,0,0
14,8,4,accept,accept,0,1,1,9,1,0,0,1,1,0.1,28,0,1,1,0.1,40,0,1,1,0.1,31,0,1,1,0.1,31,0,1,1,0.1,32,0,0
14,9,4,accept,accept,0,3,3,13,3,0,0,1,1,0.1,23,0,1,1,0.1,40,0,1,1,0.1,27,0,1,1,0.1,27,0,1,1,0.1,30,0,0
14,10,4,accept,accept,0,4,4,13,4,0,0,1,1,0.1,24,0,1,1,0.1,40,0,1,1,0.1,27,0,1,1,0.1,27,0,1,1,0.1,31,0,0
14,11,4,accept,accept,0,3,3,10,3,0,0,1,1,0.1,25,0,1,1,0.1,40,0,1,1,0.1,30,0,1,1,0.1,30,0,1,1,0.1,33,0,0
14,12,4,accept,accept,0,5,5,14,5,0,0,1,1,0.1,21,0,1,1,0.1,40,0,1,1,0.1,26,0,1,1,0.1,26,0,1,1,0.1,31,0,0
14,13,4,accept,accept,0,5,5,15,5,0,0,1,1,0.1,22,0,1,1,0.1,40,0,1,1,0.1,25,0,1,1,0.1,25,0,1,1,0.1,30,0,0
14,14,4,accept,accept,0,2,2,13,2,0,0,1,1,0.1,23,0,1,1,0.1,40,0,1,1,0.1,27,0,1,1,0.1,27,0,1,1,0.1,29,0,0
14,15,4,accept,accept,0,1,1,14,1,0,0,0,0,0.0,21,0,1,1,0.1,40,0,1,1,0.1,26,0,1,1,0.1,26,0,1,1,0.1,27,0,0
14,16,4,accept,accept,0,0,0,12,0,0,0,0,0,0.0,23,0,1,1,0.1,40,0,1,1,0.1,28,0,1,1,0.1,28,0,1,1,0.1,28,0,0
14,17,4,accept,accept,0,2,2,12,2,0,0,0,0,0.0,25,0,0,0,0.0,40,0,0,0,0.0,28,0,0,0,0.0,28,0,0,0,0.0,30,0,0
14,18,4,accept,accept,0,1,1,11,1,0,0,0,0,0.0,26,0,0,0,0.0,40,0,0,0,0.0,29,0,0,0,0.0,29,0,0,0,0.0,30,0,0
14,19,4,accept,accept,0,1,1,11,1,0,0,0,0,0.0,26,0,0,0,0.0,40,0,0,0,0.0,28,0,0,0,0.0,28,0,0,0,0.0,29,0,0
21,0,4,accept,accept,0,2,2,10,2,0,0,1,3,0.3,21,0,1,3,0.3,38,0,1,3,0.3,29,0,1,3,0.3,29,0,1,3,0.3,31,0,0
21,1,4,accept,accept,0,2,2,9,2,0,0,1,3,0.3,23,0,1,3,0.3,38,0,1,3,0.3,30,0,1,3,0.3,30,0,1,3,0.3,32,0,0
21,2,4,accept,accept,0,1,1,9,1,0,0,1,3,0.3,23,0,1,3,0.3,38,0,1,3,0.3,30,0,1,3,0.3,30,0,1,3,0.3,31,0,0
21,3,4,accept,accept,0,1,1,7,1,0,0,1,3,0.3,23,0,1,3,0.3,37,0,1,3,0.3,31,0,1,3,0.3,31,0,1,3,0.3,32,0,0
21,4,4,accept,accept,0,2,2,9,2,0,0,1,2,0.2,18,0,1,2,0.2,37,0,1,2,0.2,29,0,1,2,0.2,29,0,1,2,0.2,31,0,0
21,5,4,accept,accept,0,3,3,7,3,0,0,1,1,0.1,21,0,1,1,0.1,37,0,1,1,0.1,31,0,1,1,0.1,31,0,1,1,0.1,34,0,0
21,6,4,accept,accept,0,4,4,12,4,0,0,0,0,0.0,19,0,0,0,0.0,38,0,0,0,0.0,27,0,0,0,0.0,27,0,0,0,0.0,31,0,0
21,7,4,accept,accept,0,1,1,6,1,0,0,0,0,0.0,21,0,0,0,0.0,38,0,0,0,0.0,33,0,0,0,0.0,33,0,0,0,0.0,34,0,0
21,8,4,accept,accept,0,2,2,7,2,0,0,0,0,0.0,19,0,0,0,0.0,38,0,0,0,0.0,32,0,0,0,0.0,32,0,0,0,0.0,34,0,0
21,9,4,accept,accept,0,2,2,11,2,0,0,1,3,0.3,15,0,1,3,0.3,38,0,1,3,0.3,28,0,1,3,0.3,28,0,1,3,0.3,30,0,0
21,10,4,accept,accept,0,2,2,10,2,0,0,0,0,0.0,15,0,1,3,0.3,38,0,0,0,0.0,28,0,0,0,0.0,28,0,0,0,0.0,30,0,0
21,11,4,accept,accept,0,2,2,10,2,0,2,0,0,0.0,17,1,1,3,0.3,38,2,0,0,0.0,29,2,0,0,0.0,29,2,0,0,0.0,31,0,1
21,12,4,accept,accept,0,1,1,10,1,0,2,0,0,0.0,17,0,1,3,0.3,38,2,0,0,0.0,28,2,0,0,0.0,28,2,0,0,0.0,29,0,2
21,13,4,accept,accept,0,0,0,8,0,0,0,1,2,0.2,17,0,1,2,0.2,38,0,1,2,0.2,30,0,1,2,0.2,30,0,1,2,0.2,30,0,0
21,14,4,accept,accept,0,0,0,10,0,0,0,1,2,0.2,18,0,1,2,0.2,39,0,1,2,0.2,29,0,1,2,0.2,29,0,1,2,0.2,29,0,0
21,15,4,accept,accept,0,0,0,10,0,0,0,0,0,0.0,18,0,0,0,0.0,39,0,0,0,0.0,29,0,0,0,0.0,29,0,0,0,0.0,29,0,0
21,16,4,accept,accept,0,0,0,8,0,0,0,0,0,0.0,19,0,0,0,0.0,39,0,0,0,0.0,31,0,0,0,0.0,31,0,0,0,0.0,31,0,0
21,17,4,accept,accept,0,0,0,8,0,0,0,0,0,0.0,22,0,0,0,0.0,39,0,0,0,0.0,31,0,0,0,0.0,31,0,0,0,0.0,31,0,0
21,18,4,accept,accept,0,0,0,11,0,0,0,1,1,0.1,21,0,1,1,0.1,39,0,1,1,0.1,28,0,1,1,0.1,28,0,1,1,0.1,28,0,0
21,19,4,accept,accept,0,1,1,11,1,0,0,1,4,0.4,20,0,1,4,0.4,39,0,1,4,0.4,28,0,1,4,0.4,28,0,1,4,0.4,29,0,0
24,0,4,accept,accept,0,0,0,20,0,0,0,1,2,0.2,28,2,1,9,0.9,50,2,1,9,0.9,30,2,1,9,0.9,30,2,1,9,0.9,30,2,0
24,1,4,accept,accept,0,0,0,20,0,0,0,1,2,0.2,27,1,1,8,0.8,50,1,1,8,0.8,30,1,1,8,0.8,30,1,1,8,0.8,30,1,0
24,2,4,accept,accept,0,0,0,22,0,0,0,1,1,0.1,27,1,1,7,0.7,50,1,1,7,0.7,28,1,1,7,0.7,28,1,1,7,0.7,28,1,0
24,3,4,accept,accept,0,0,0,20,0,0,0,1,4,0.4,30,0,1,4,0.4,50,0,1,4,0.4,30,0,1,4,0.4,30,0,1,4,0.4,30,0,0
24,4,4,accept,accept,0,0,0,21,0,0,0,1,3,0.3,29,0,1,3,0.3,50,0,1,3,0.3,29,0,1,3,0.3,29,0,1,3,0.3,29,0,0
24,5,4,accept,accept,0,0,0,19,0,0,0,1,2,0.2,30,0,1,2,0.2,50,0,1,2,0.2,31,0,1,2,0.2,31,0,1,2,0.2,31,0,0
24,6,4,accept,accept,0,0,0,19,0,0,0,1,2,0.2,30,0,1,2,0.2,49,0,1,2,0.2,30,0,1,2,0.2,30,0,1,2,0.2,30,0,0
24,7,4,accept,accept,0,0,0,19,0,0,0,1,2,0.2,30,0,1,2,0.2,49,0,1,2,0.2,30,0,1,2,0.2,30,0,1,2,0.2,30,0,0
