scenario,method,truth_collision_step,collision,first_collision,overlap,collision_pairs,first_overlap,overlap_count,first_warning,severity,wp_coll,wp_total,warning_frames,frames
BS3_blind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,49,1,36,1,attacker_rear+ego,36,1,27,5.822137854891882,0,2200,193,220
BS3_blind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,49,0,-1,1,,80,1,27,0.0,0,2200,32,220
BS3_blind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,49,0,-1,0,,-1,0,26,0.0,0,2200,40,220
BS3_nonblind_rand42,NoCon-egoonly,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind_rand42,NoCon-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind_rand42,RSS-coop,49,0,-1,0,,-1,0,9,0.0,36,2200,36,220
BS3_nonblind_rand42,UniE2EV2X-coop,49,1,52,1,attacker_rear+ego,52,1,39,2.6533533275224395,2,2200,181,220
BS3_nonblind_rand42,MAP-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind_rand42,RiskMM-coop,49,0,-1,0,,-1,0,11,0.0,36,2200,209,220
BS3_nonblind_rand42,Hybrid-V1Only-thr0.30,49,0,-1,0,,-1,0,9,0.0,41,2200,135,220
BS3_nonblind_rand42,Hybrid-GeomOnly,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind_rand42,Hybrid-Geom+TTC,49,1,32,1,attacker_rear+ego,32,1,22,5.3252510963654105,0,2200,198,220
BS3_nonblind_rand42,Hybrid-thr0.30,49,0,-1,0,,-1,0,9,0.0,0,2200,153,220
BS3_nonblind_rand42,Hybrid+AND-thr0.30,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind_rand42,Hybrid+AND+TTC-thr0.30,49,1,32,1,attacker_rear+ego,32,1,22,5.3252510963654105,0,2200,198,220
BS3_nonblind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,49,0,-1,0,,-1,0,22,0.0,0,2200,20,220
BS3_nonblind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,49,0,-1,1,,80,1,22,0.0,0,2200,47,220
